country,iso_code,date,daily_vaccinations
Afghanistan,AFG,2/22/2021,0
Afghanistan,AFG,2/23/2021,1367
Afghanistan,AFG,2/24/2021,1367
Afghanistan,AFG,2/25/2021,1367
Afghanistan,AFG,2/26/2021,1367
Afghanistan,AFG,2/27/2021,1367
Afghanistan,AFG,2/28/2021,1367
Afghanistan,AFG,3/1/2021,1580
Afghanistan,AFG,3/2/2021,1794
Afghanistan,AFG,3/3/2021,2008
Afghanistan,AFG,3/4/2021,2221
Afghanistan,AFG,3/5/2021,2435
Afghanistan,AFG,3/6/2021,2649
Afghanistan,AFG,3/7/2021,2862
Afghanistan,AFG,3/8/2021,2862
Afghanistan,AFG,3/9/2021,2862
Afghanistan,AFG,3/10/2021,2862
Afghanistan,AFG,3/11/2021,2862
Afghanistan,AFG,3/12/2021,2862
Afghanistan,AFG,3/13/2021,2862
Afghanistan,AFG,3/14/2021,2862
Afghanistan,AFG,3/15/2021,2862
Afghanistan,AFG,3/16/2021,2862
Albania,ALB,1/10/2021,0
Albania,ALB,1/11/2021,64
Albania,ALB,1/12/2021,64
Albania,ALB,1/13/2021,63
Albania,ALB,1/14/2021,66
Albania,ALB,1/15/2021,62
Albania,ALB,1/16/2021,62
Albania,ALB,1/17/2021,58
Albania,ALB,1/18/2021,55
Albania,ALB,1/19/2021,51
Albania,ALB,1/20/2021,47
Albania,ALB,1/21/2021,40
Albania,ALB,1/22/2021,34
Albania,ALB,1/23/2021,26
Albania,ALB,1/24/2021,21
Albania,ALB,1/25/2021,15
Albania,ALB,1/26/2021,9
Albania,ALB,1/27/2021,4
Albania,ALB,1/28/2021,0
Albania,ALB,1/29/2021,0
Albania,ALB,1/30/2021,0
Albania,ALB,1/31/2021,0
Albania,ALB,2/1/2021,0
Albania,ALB,2/2/2021,0
Albania,ALB,2/3/2021,12
Albania,ALB,2/4/2021,24
Albania,ALB,2/5/2021,35
Albania,ALB,2/6/2021,47
Albania,ALB,2/7/2021,59
Albania,ALB,2/8/2021,71
Albania,ALB,2/9/2021,82
Albania,ALB,2/10/2021,81
Albania,ALB,2/11/2021,79
Albania,ALB,2/12/2021,78
Albania,ALB,2/13/2021,76
Albania,ALB,2/14/2021,75
Albania,ALB,2/15/2021,73
Albania,ALB,2/16/2021,72
Albania,ALB,2/17/2021,72
Albania,ALB,2/18/2021,254
Albania,ALB,2/19/2021,405
Albania,ALB,2/20/2021,516
Albania,ALB,2/21/2021,627
Albania,ALB,2/22/2021,739
Albania,ALB,2/23/2021,891
